name,code,rank,marketcap,country,share_price,change(1day),change(1year),categories
axis bank,axisbank.bo,487,34890000000,india,11,2.71%,25.00%,"banks, financialservices"
electronic arts,ea,490,34780000000,usa,126,-1.10%,-0.11%,"videogames, esports, entertainment, tech"
banco bilbao vizcaya argentaria,bbva,485,35080000000,spain,5,0.00%,0.52%,"banks, financialservices"
walgreens boots alliance,wba,484,35150000000,usa,40,0.15%,-15.72%,"dowjones, retail, drugstore, pharmaceuticals"
7-eleven,3382.t,481,35480000000,japan,40,0.15%,-6.25%,"supermarketchains, retail"
jardine matheson,j36.si,479,35500000000,hong kong,49,1.71%,-9.83%,"conglomerate, investment"
cenovus energy,cve,483,35210000000,canada,18,-0.76%,42.56%,"oilgas, energy"
samsung sdi,006405.ks,482,35240000000,south korea,240,-0.63%,-17.15%,"electricity, batteries"
china state construction engineering,601668.ss,480,35480000000,china,0,0.34%,10.39%,"construction, engineering"
jiangsu hengrui medicine,600276.ss,478,35560000000,china,5,-4.21%,-29.10%,"pharmaceuticals, biotech"
anta sports,as7.f,503,33970000000,china,12,1.30%,-23.79%,sportsgoods
capital one,cof,477,35580000000,usa,93,-0.85%,-37.25%,"banks, financialservices"
ahold delhaize,ad.as,598,29200000000,netherlands,29,-0.74%,-13.98%,"retail, food, supermarketchains"
loblaw companies,l.to,600,28990000000,canada,89,0.94%,16.53%,
eversource energy,es,599,29170000000,usa,83,-0.71%,-4.05%,"energy, utilitycompanies, electricity"
rockwell automation,rok,597,29250000000,usa,254,-0.78%,-27.37%,
smc corp,6273.t,596,29450000000,japan,450,0.65%,-32.80%,
cement roadstone holding,crh,594,29500000000,ireland,39,-0.23%,-23.21%,"cement, buildingmaterials"
henkel,hen3.de,595,29480000000,germany,70,-0.06%,-12.74%,"dax, chemicals, consumergoods"
state street corporation,stt,593,29520000000,usa,80,8.19%,-15.23%,"financialservices, banks"
givaudan,givn.sw,592,29570000000,switzerland,3,-1.15%,-37.43%,"flavorsfragrances, cosmeticsandbeauty"
w w grainger,gww,591,29630000000,usa,586,1.05%,15.50%,
credit agricole,aca.pa,586,29810000000,france,9,-0.37%,-30.42%,"banks, financialservices, cac40"
telus,tu,590,29660000000,canada,20,-0.48%,-11.60%,telecommunication
d r horton,dhi,589,29700000000,usa,86,2.81%,-18.74%,construction
restaurant brands international,qsr,588,29720000000,canada,65,0.66%,9.83%,"restaurantchains, food"
rwe,rwe.de,587,29740000000,germany,43,-0.88%,11.03%,"electricity, dax, energy"
wec energy group,wec,585,29830000000,usa,94,-0.87%,2.44%,
aier eye hospital,300015.sz,583,29900000000,china,4,-0.24%,-38.13%,"healthcare, medicalcarefacilities"
dell,dell,580,30020000000,usa,41,-1.30%,-28.84%,"tech, techhardware, electronics"
constellation energy,ceg,578,30070000000,usa,91,1.31%,,"energy, electricity, utilitycompanies"
mtr corporation,0066.hk,581,29990000000,hong kong,4,1.48%,-9.02%,
pseg,peg,582,29910000000,usa,59,-1.07%,-7.23%,"electricity, energy"
barrick gold,gold,584,29850000000,canada,16,2.49%,-9.16%,"mining, goldmining"
weg on,wege3.sa,579,30050000000,brazil,7,-1.19%,17.76%,
vodafone,vod,577,30160000000,uk,10,-1.66%,-28.32%,telecommunication
albemarle,alb,576,30170000000,usa,257,-0.15%,-0.74%,chemicals
yili group,600887.ss,605,28660000000,china,4,-1.11%,-28.55%,dairycompanies
enbw energie,ebk.de,700,24190000000,germany,89,0.00%,5.52%,"electricity, energy"
equity residential,eqr,698,24280000000,usa,61,0.42%,-28.08%,realestate
coca-cola european partners,ccep,699,24200000000,uk,52,-0.32%,-4.60%,beverages
skandinaviska enskilda banken,seba.f,697,24290000000,sweden,11,-1.29%,-24.19%,
united rentals,uri,696,24360000000,usa,351,1.22%,-1.47%,rentalleasingservices
ulta beauty,ulta,695,24420000000,usa,480,3.11%,17.75%,"retail, cosmeticsandbeauty"
compagnie de saint-gobain,sgo.pa,694,24450000000,france,47,-0.95%,-30.38%,cac40
olympus,7733.t,691,24550000000,japan,19,-0.45%,-10.37%,
rivian,rivn,689,24680000000,usa,27,0.18%,-75.95%,"automakers, manufacturing, electricvehicles"
kbc,kbcsf,687,24880000000,belgium,59,-0.50%,-30.38%,
raymond james,rjf,692,24490000000,usa,113,-1.86%,15.18%,
entergy,etr,693,24470000000,usa,116,-0.92%,10.63%,"utilitycompanies, energy, electricity"
riyad bank,1010.sr,690,24570000000,saudi arabia,8,1.32%,12.97%,banks
eon,eoan.de,686,24930000000,germany,9,-1.00%,-23.64%,"electricity, dax, energy, utilitycompanies"
diamondback energy,fang,688,24840000000,usa,136,-1.19%,18.14%,"energy, oilgas"
edison international,eix,685,24960000000,usa,65,-0.98%,-2.81%,
cdw corporation,cdw,684,25020000000,usa,184,0.06%,-6.74%,retail
bridgestone,5108.t,683,25070000000,japan,36,-0.12%,-15.89%,tires
formosa petrochemical,6505.tw,680,25270000000,taiwan,2,-1.33%,-24.93%,"oilgas, energy"
kellogg's,k,681,25210000000,usa,73,1.12%,17.14%,food
assa abloy,asazf,679,25280000000,sweden,21,-2.39%,-26.34%,
ultratech cement,ultracemco.ns,682,25120000000,india,87,0.24%,-10.01%,
beiersdorf,bei.de,677,25370000000,germany,111,1.00%,9.44%,"dax, consumergoods"
lennar,len,678,25350000000,usa,89,3.61%,-22.49%,construction
equifax,efx,712,23730000000,usa,193,-0.11%,-33.58%,financialservices
labcorp,lh,800,20700000000,usa,233,-0.20%,-21.08%,"pharmaceuticals, biotech"
verisign,vrsn,799,20770000000,usa,195,-0.74%,-19.77%,internet
anhui conch cement,ahchf,798,20780000000,china,3,-3.27%,-26.95%,"cement, buildingmaterials"
doordash,dash,797,20810000000,usa,53,1.73%,-67.20%,"fooddelivery, internet, food, tech"
crrc,1766.hk,795,20880000000,china,0,2.89%,-10.87%,
china railway group,0390.hk,796,20870000000,china,0,2.28%,13.73%,construction
standard chartered,stan.l,794,20880000000,uk,7,0.99%,23.37%,"banks, financialservices"
fujifilm,4901.t,793,20880000000,japan,51,-0.45%,-32.59%,conglomerate
panasonic,6752.t,792,20900000000,japan,8,-1.01%,-20.00%,"electronics, tech, techhardware"
china minsheng bank,600016.ss,791,20950000000,china,0,0.00%,-16.39%,
ares management,ares,790,20990000000,usa,71,-1.62%,-11.81%,
cardinal health,cah,789,21010000000,usa,80,0.94%,66.63%,healthcare
tripcom,tcom,788,21040000000,china,32,-2.54%,15.79%,"travel, internet, onlinetravel, tech"
great-west lifeco,gwo.to,787,21070000000,canada,22,-1.12%,-23.86%,
naver,035420.ks,786,21080000000,south korea,140,1.09%,-57.54%,"internet, tech"
ck asset holdings,1113.hk,785,21120000000,hong kong,5,0.55%,-0.68%,realestate
ansys,anss,784,21160000000,usa,242,-0.40%,-39.81%,"software, tech"
huntington bancshares,hban,783,21160000000,usa,14,-0.07%,-5.29%,"banks, financialservices"
quanta services,pwr,781,21190000000,usa,148,-0.86%,26.76%,engineering
insulet,podd,782,21170000000,usa,304,1.64%,11.89%,medicaldevices
banorte,gfnorteo.mx,779,21300000000,mexico,7,-1.45%,19.77%,financialservices
nio,nio,780,21230000000,china,12,-4.98%,-62.02%,"automakers, electricvehicles"
zoom,zm,806,20420000000,usa,69,-2.24%,-63.04%,"tech, internet, software"
komatsu,6301.t,778,21310000000,japan,22,0.06%,-8.63%,"manufacturing, machinerymanufacturing"
tenaris,ts,848,19460000000,luxembourg,32,-1.10%,54.85%,"manufacturing, steelindustry"
northern trust,ntrs,900,18280000000,usa,87,-0.96%,-27.00%,financialservices
trina solar,688599.ss,899,18290000000,china,8,2.17%,-26.25%,"manufacturing, renewableenergy, energy"
conagra brands,cag,898,18320000000,usa,38,1.78%,20.22%,food
kao,4452.t,897,18330000000,japan,40,0.29%,-25.76%,"cosmeticsandbeauty, consumergoods"
kakao,035720.ks,894,18360000000,south korea,42,0.00%,-58.78%,"internet, tech"
clorox,clx,892,18420000000,usa,149,1.61%,-9.65%,consumergoods
wabtec,wab,895,18350000000,usa,100,0.48%,10.31%,
shiseido,4911.t,893,18370000000,japan,46,-1.04%,-23.61%,"consumergoods, cosmeticsandbeauty"
legal & general,lgen.l,891,18420000000,uk,3,0.04%,-20.62%,"assetmanagement, investment"
tourmaline oil,tou.to,896,18340000000,canada,54,-0.43%,62.99%,"oilgas, energy"
roblox,rblx,889,18480000000,usa,30,0.39%,-73.47%,"videogames, entertainment"
wilmar international,f34.si,887,18520000000,singapore,2,-0.74%,-2.95%,food
celltrion,068270.ks,888,18500000000,south korea,133,1.15%,-22.37%,pharmaceuticals
powergrid corporation of india,powergrid.ns,890,18430000000,india,2,-1.47%,-3.30%,"electricity, infrastructure"
steris,ste,886,18520000000,ireland,185,1.08%,-18.73%,
royalty pharma,rprx,884,18580000000,uk,42,0.48%,9.29%,"pharmaceuticals, biotech"
carlsberg,cbga.f,882,18600000000,denmark,163,0.97%,-1.19%,"alcoholicbeverages, beverages"
paycom,payc,885,18540000000,usa,308,-1.18%,-29.04%,"software, tech"
nu holdings,nu,883,18600000000,brazil,3,-2.22%,,"banks, financialservices"
teck resources,teck,880,18680000000,canada,36,-1.17%,30.91%,mining
aes,aes,879,18680000000,usa,27,-0.53%,12.73%,"electricity, energy"
incyte,incy,878,18690000000,usa,84,1.81%,25.93%,
swedbank,swed-a.st,881,18680000000,sweden,16,0.62%,-21.24%,"banks, financialservices"
sun communities,sui,914,17910000000,usa,141,0.46%,-28.71%,"realestate, investment, reits"
otsuka holdings,4578.t,913,17930000000,japan,33,-0.18%,-9.40%,"pharmaceuticals, biotech"
standard bank group,sbk.jo,978,16610000000,south africa,10,-0.36%,28.08%,"banks, financialservices"
hindustan zinc,hindzinc.ns,1000,16260000000,india,3,0.68%,-17.91%,
geely,0175.hk,999,16300000000,china,1,3.95%,-45.64%,"automakers, manufacturing"
bollore,bop.f,998,16309999999,france,5,-1.13%,4.34%,
geberit,gebn.sw,997,16309999999,switzerland,472,-1.48%,-40.76%,
etsy,etsy,995,16350000000,usa,130,-3.61%,-45.20%,"ecommerce, internet, tech"
hyone,h.to,996,16320000000,canada,27,-0.77%,10.90%,"electricity, utilitycompanies, energy"
avangrid,agr,994,16360000000,usa,42,-1.33%,-17.04%,
live nation,lyv,993,16420000000,usa,71,0.32%,-34.51%,entertainment
itausa,itsa3.sa,992,16430000000,brazil,1,0.67%,-1.70%,
w p carey,wpc,991,16440000000,usa,79,-0.74%,-0.28%,
zscaler,zs,989,16469999999,usa,114,-1.49%,-61.63%,"software, tech, itsecurity"
ball corporation,ball,988,16469999999,usa,52,-4.22%,-43.83%,packaging
cincinnati financial,cinf,990,16469999999,usa,104,-2.00%,-11.01%,insurance
check point software,chkp,987,16489999999,israel,131,0.01%,18.63%,"software, tech, itsecurity"
power corporation of canada,pow.to,986,16489999999,canada,24,-0.95%,-26.28%,
first solar,fslr,985,16489999999,usa,154,-1.73%,52.91%,
rocket companies,rkt,984,16510000000,usa,8,0.61%,-49.05%,"realestate, financialservices"
atmos energy,ato,983,16540000000,usa,117,-0.03%,23.75%,utilitycompanies
novozymes,nzym.vi,981,16570000000,denmark,60,0.14%,-21.46%,
tata steel,tatasteel.ns,980,16570000000,india,1,0.58%,-91.08%,"steelproducers, steelindustry"
pkn orlen,pky1.f,982,16559999999,poland,14,-0.77%,-20.46%,"oilgas, energy"
swedish match,swma.st,977,16640000000,sweden,10,0.13%,49.45%,tobacco
jm smucker company,sjm,979,16600000000,usa,155,1.39%,19.55%,food
magna international,mga,976,16649999999,canada,58,-1.19%,-28.28%,automotivesuppliers
ems-chemie,emsn.sw,1014,15970000000,switzerland,683,-1.15%,-31.24%,chemicals
align technology,algn,1077,14630000000,usa,187,0.69%,-71.90%,"medicaldevices, tech"
spotify,spot,1078,14620000000,sweden,75,0.75%,-68.25%,"internet, tech, entertainment"
essex property trust,ess,1099,14260000000,usa,212,0.86%,-38.28%,"realestate, investment"
enel americas,enelam.sn,1100,14240000000,chile,0,0.01%,8.33%,"utilitycompanies, electricity, energy"
ptc,ptc,1097,14280000000,usa,121,0.31%,1.20%,"software, professionalservices, tech"
ase group,asx,1098,14270000000,taiwan,6,0.00%,-17.78%,"semiconductors, tech"
bunge,bg,1096,14300000000,usa,95,0.04%,8.81%,food
fortum,fortum.he,1095,14320000000,finland,16,-1.19%,-45.82%,"energy, electricity"
sodexo,sw.pa,1094,14320000000,france,98,0.80%,12.80%,food
inpex,1605.t,1093,14340000000,japan,10,-0.82%,23.08%,"oilgas, energy"
united airlines holdings,ual,1091,14400000000,usa,44,-4.05%,1.50%,"airlines, travel, transportation"
arca continental,ac.mx,1090,14410000000,mexico,8,-1.39%,34.09%,beverages
tatneft,tatn.me,1092,14350000000,russia,6,0.49%,-4.47%,"energy, oilgas"
royal caribbean,rcl,1089,14420000000,usa,56,-1.89%,-21.08%,"travel, cruiselines"
lucid motors,lcid,1088,14460000000,usa,8,-0.46%,-80.38%,"automakers, electricvehicles"
grasim industries,grasim.ns,1087,14480000000,india,22,0.24%,-1.61%,
shinhan financial group,shg,1086,14480000000,south korea,28,-1.33%,-11.39%,
ucb,ucb.vi,1085,14480000000,belgium,76,0.00%,-31.71%,
aercap,aer,1084,14500000000,ireland,58,-1.68%,-1.45%,aircraftleasing
hyundai mobis,012330.ks,1083,14500000000,south korea,156,-0.72%,-24.13%,
ctbc financial holding,2891.tw,1080,14570000000,taiwan,0,-1.08%,-21.28%,"financialservices, banks"
aspentech,azpn,1079,14580000000,usa,226,2.67%,52.78%,"software, tech"
cloudflare,net,1081,14540000000,usa,44,1.54%,-71.67%,"internet, tech, itsecurity, software"
surgutneftegas,sngs.me,1082,14530000000,russia,0,-0.54%,-22.64%,"oilgas, energy"
china steel,2002a.tw,1076,14640000000,taiwan,1,0.00%,-19.68%,"steelproducers, steelindustry"
avantor,avtr,1075,14700000000,usa,21,0.93%,-44.80%,chemicals
ambuja cements,ambujacem.ns,1105,14170000000,india,7,0.99%,44.33%,"cement, buildingmaterials"
trimble,trmb,1104,14170000000,usa,57,-1.81%,-34.38%,"software, tech"
palantir,pltr,1074,14700000000,usa,7,1.14%,-63.67%,"software, tech"
hubspot,hubs,1153,13390000000,usa,275,2.03%,-63.77%,"software, tech"
liberty broadband,lbrda,1200,12800000000,usa,85,1.04%,-44.77%,
chesapeake energy,chk,1199,12840000000,usa,95,2.29%,51.74%,"oilgas, energy"
siemens gamesa,gctaf,1198,12840000000,spain,18,1.28%,-24.95%,
britannia industries,britannia.ns,1197,12840000000,india,53,0.03%,15.76%,
international paper,ip,1196,12850000000,usa,36,-0.74%,-22.51%,pulpandpaper
tyler technologies,tyl,1195,12850000000,usa,308,-1.67%,-41.07%,"software, tech"
capitec bank,cpi.jo,1194,12860000000,south africa,110,0.26%,1.04%,"banks, financialservices"
bangkok dusit medical services bdms,bdms.bk,1192,12900000000,thailand,0,-0.88%,20.90%,"healthcare, medicalcarefacilities"
tdk,6762.t,1191,12910000000,japan,34,-1.37%,-13.22%,electronics
telenor,tel.ol,1193,12900000000,norway,9,-0.35%,-37.91%,telecommunication
novolipetsk steel,nlmk.me,1189,12940000000,russia,2,-0.27%,-22.86%,"steelproducers, steelindustry"
ck infrastructure,1038.hk,1188,12940000000,hong kong,5,-0.37%,-12.59%,infrastructure
burlington stores,burl,1190,12940000000,usa,198,-0.58%,-32.33%,"retail, clothing"
corebridge financial,crbg,1186,12960000000,usa,20,-2.71%,,"assetmanagement, financialservices, insurance, investment"
chanasri petrochemical,tpia.jk,1187,12960000000,indonesia,0,-0.85%,-68.75%,"oilgas, energy"
carlisle companies,csl,1185,12970000000,usa,250,-0.43%,3.80%,
secom,9735.t,1182,13030000000,japan,60,-0.06%,-10.86%,
dabur,dabur.ns,1184,12990000000,india,7,0.36%,-3.29%,consumergoods
zebra technologies,zbra,1181,13030000000,usa,252,-0.66%,-58.29%,"software, electronics, tech, techhardware"
grupo elektra,xekt.mc,1183,13000000000,mexico,51,-1.21%,-22.02%,retail
polyus,plzl.me,1178,13040000000,russia,95,-14.24%,-48.58%,
everest re,re,1180,13030000000,bm,332,-1.13%,22.91%,insurance
qbe insurance,qbe.ax,1179,13040000000,australia,8,-1.44%,4.64%,insurance
aecom,acm,1272,11770000000,usa,84,-0.34%,16.56%,engineering
paramount global,para,1271,11780000000,usa,18,-0.77%,-42.61%,"mediapress, entertainment"
albertsons,aci,1298,11470000000,usa,21,1.80%,-40.15%,retail
croda international,crda.l,1300,11440000000,uk,81,-1.73%,-38.75%,chemicals
the toro company,ttc,1296,11480000000,usa,110,0.37%,7.43%,
zoominfo,zi,1297,11470000000,usa,28,1.29%,-54.87%,"software, tech"
esun bank,2884.tw,1295,11480000000,taiwan,0,1.02%,-20.79%,"financialservices, banks"
continental,con.de,1299,11440000000,germany,57,-0.87%,-46.84%,"tires, dax"
credicorp,bap,1294,11500000000,bermuda,144,-2.49%,24.38%,"financialservices, banks"
mineral resources,min.ax,1293,11500000000,australia,59,-2.53%,88.52%,mining
molson coors,tap,1292,11530000000,usa,53,-0.39%,13.62%,"alcoholicbeverages, beverages"
carnival,ccl,1290,11540000000,usa,8,-4.41%,-51.95%,"travel, cruiselines"
gbl,gblb.vi,1289,11550000000,belgium,81,0.00%,-27.33%,
amundi,amun.pa,1291,11540000000,france,56,-0.28%,-30.84%,"assetmanagement, investment"
godaddy,gddy,1286,11580000000,usa,74,0.68%,2.16%,"internet, tech"
carl zeiss meditec,afxa.f,1288,11560000000,germany,129,1.65%,-29.30%,
new china life insurance,601336.ss,1287,11570000000,china,4,0.50%,-29.55%,insurance
globe life,gl,1285,11580000000,usa,119,-0.07%,29.71%,insurance
orient overseas container line,0316.hk,1283,11600000000,hong kong,17,2.09%,-14.92%,"transportation, containershipping, maritimetransportation"
segro,sgro.l,1284,11590000000,uk,9,-2.98%,-48.74%,"reits, realestate, investment"
wisetech global,wtc.ax,1281,11630000000,australia,35,-0.60%,-2.04%,"software, tech"
talanx,tlx.de,1282,11630000000,germany,45,0.37%,-1.12%,"financialservices, insurance"
billcom,bill,1278,11680000000,usa,110,3.65%,-56.60%,"internet, financialservices"
hansoh pharma,3692.hk,1280,11650000000,china,1,2.41%,-9.22%,pharmaceuticals
neurocrine biosciences,nbix,1279,11680000000,usa,121,1.08%,47.73%,"pharmaceuticals, biotech"
graco,ggg,1303,11420000000,usa,67,0.52%,-12.79%,
carmax,kmx,1400,10280000000,usa,65,-0.75%,-56.57%,"usedcarretailer, carretail"
heidelbergcement,hei.de,1399,10280000000,germany,53,-0.47%,-23.67%,"cement, buildingmaterials, dax"
saputo,sap.to,1397,10300000000,canada,24,0.63%,9.63%,"food, dairycompanies"
entegris,entg,1395,10340000000,usa,69,-0.32%,-54.71%,"semiconductors, tech"
adani wilmar,awl.ns,1398,10290000000,india,7,0.15%,,food
impala platinum,imp.jo,1394,10340000000,south africa,12,0.36%,-6.51%,mining
marketaxess,mktx,1393,10350000000,usa,275,-3.48%,-27.72%,financialservices
intercontinental hotels group,ihg,1391,10370000000,uk,58,0.12%,-6.66%,"hotels, travel"
magellan midstream partners,mmp,1396,10310000000,usa,50,-0.94%,10.03%,"oilgas, energy"
swire pacific,0019.hk,1392,10370000000,hong kong,7,2.09%,38.10%,investment
juniper networks,jnpr,1390,10370000000,usa,31,-0.56%,-2.11%,"networkinghardware, telecommunicationsequipment, tech, techhardware"
sk innovation,096775.ks,1387,10410000000,south korea,75,-1.68%,-28.33%,"oilgas, energy"
aramark,armk,1388,10410000000,usa,40,-1.95%,14.18%,food
boliden,bol.st,1389,10390000000,sweden,38,2.23%,3.82%,mining
evergreen marine,2603.tw,1386,10430000000,taiwan,4,-0.33%,-5.37%,"transportation, maritimetransportation, containershipping"
sarepta therapeutics,srpt,1383,10510000000,usa,119,-0.28%,40.35%,pharmaceuticals
emera,ema.to,1385,10440000000,canada,38,0.30%,-17.44%,
barry callebaut,barn.sw,1384,10510000000,switzerland,1,0.78%,-19.33%,food
autonation,an,1382,10510000000,usa,119,-0.54%,-2.88%,"usedcarretailer, carretail"
kikkoman,2801.t,1380,10520000000,japan,55,0.80%,-29.39%,food
pan pacific,7532.t,1381,10520000000,japan,17,1.00%,7.03%,"hotels, travel"
disco corp,6146.t,1379,10530000000,japan,291,0.25%,0.35%,"semiconductors, tech"
news corp,nws,1378,10530000000,usa,18,-1.39%,-16.95%,mediapress
carlyle group,cg,1376,10540000000,usa,29,-3.81%,-46.92%,
hlbank hong leong bank,5819.kl,1470,9700000000,malaysia,4,0.49%,9.41%,"banks, financialservices"
solvay,solb.vi,1406,10220000000,belgium,98,0.00%,-16.00%,
renault,rno.pa,1377,10540000000,france,36,-0.52%,6.87%,"automakers, cac40, manufacturing"
cubesmart,cube,1500,9510000000,usa,42,0.65%,-23.43%,
jazz pharmaceuticals,jazz,1499,9510000000,ireland,151,0.78%,22.06%,"pharmaceuticals, biotech"
lattice semiconductor,lscc,1498,9510000000,usa,69,0.84%,-12.55%,"semiconductors, tech, techhardware, manufacturing"
lg corp,003550.ks,1497,9530000000,south korea,60,1.40%,-13.00%,electronics
vivendi,viv.pa,1496,9550000000,france,9,-0.56%,-27.51%,cac40
eiffage,fgr.pa,1495,9560000000,france,100,-0.06%,3.39%,construction
red electrica,red.mc,1494,9560000000,spain,17,-2.03%,-16.36%,"energy, electricity, infrastructure"
futu holdings,futu,1493,9560000000,hong kong,65,-3.18%,49.06%,"financialservices, tech"
gfl environmental,gfl,1492,9570000000,canada,27,-0.68%,-26.61%,wasterecycling
gjensidige forsikring,xgj.f,1491,9580000000,norway,18,-1.37%,-17.39%,insurance
sumitomo metal mining,5713.t,1489,9580000000,japan,34,-1.12%,-10.83%,mining
allegion,alle,1490,9580000000,ireland,109,-0.02%,-17.15%,
svenska cellulosa aktiebolaget sca,sca-b.st,1488,9600000000,sweden,13,-0.53%,-20.59%,pulpandpaper
esr,1821.hk,1487,9600000000,hong kong,2,1.08%,-34.44%,"realestate, investment"
ceridian,cday,1486,9620000000,usa,62,-0.13%,-41.35%,"software, tech"
zendesk,zen,1485,9620000000,usa,77,0.03%,-24.14%,"software, tech"
isuzu,7202.t,1483,9620000000,japan,12,-0.06%,-9.08%,automakers
wynn resorts,wynn,1484,9620000000,usa,84,-0.53%,-1.71%,"hotels, gambling, entertainment, travel"
lufthansa,lha.de,1482,9620000000,germany,8,0.34%,16.16%,"airlines, travel, transportation"
borgwarner,bwa,1480,9640000000,usa,41,0.44%,-9.59%,automotivesuppliers
builders firstsource,bldr,1481,9630000000,usa,65,5.29%,-13.86%,buildingmaterials
xpeng,xpev,1479,9640000000,china,11,-5.90%,-76.79%,"automakers, electricvehicles, manufacturing, autonomousdriving"
full truck alliance,ymm,1478,9640000000,china,8,0.00%,-24.74%,transportation
keppel,bn4.si,1477,9640000000,singapore,5,0.54%,45.77%,
kasikornbank,kbank.bk,1475,9670000000,thailand,4,-0.35%,0.49%,"banks, financialservices"
tingyi master kang,0322.hk,1476,9650000000,china,1,1.83%,-12.76%,food
alstom,alo.pa,1511,9420000000,france,24,-1.26%,-32.43%,"manufacturing, cac40"
penske automotive,pag,1560,8950000000,usa,125,-0.36%,21.18%,
vistra,vst,1512,9400000000,usa,23,-0.34%,12.95%,"energy, electricity"
korea zinc,010130.ks,1600,8539999999,south korea,457,-0.17%,9.43%,
schroders,sdr.l,1561,8940000000,uk,5,-0.66%,-30.42%,"assetmanagement, investment"
owens corning,oc,1599,8550000000,usa,90,2.10%,-4.08%,buildingmaterials
comerica,cma,1598,8560000000,usa,65,-0.37%,-23.55%,
sk group,034730.ks,1597,8560000000,south korea,154,0.00%,-31.36%,
pure storage,pstg,1596,8570000000,usa,28,-1.17%,-13.93%,tech
deutsche wohnen,dwni.de,1593,8590000000,germany,21,1.73%,-52.50%,realestate
srf limited,srf.ns,1595,8570000000,india,28,0.48%,4.44%,
imcd,imcd.as,1594,8590000000,netherlands,150,-0.14%,-35.13%,
mitsui osk lines,9104.t,1592,8620000000,japan,23,0.15%,-66.80%,"transportation, containershipping, maritimetransportation"
ampol,ald.ax,1590,8640000000,australia,18,-1.33%,-11.93%,"energy, oilgas"
james hardie industries,jhx,1591,8630000000,ireland,18,-1.61%,-53.88%,buildingmaterials
united utilities,uu.l,1588,8670000000,uk,12,-0.43%,-14.24%,utilitycompanies
shimadzu,7701.t,1589,8650000000,japan,29,0.25%,-32.54%,"scientifictechnicalinstruments, medicalequipment"
umicore,umi.vi,1587,8670000000,belgium,36,0.00%,-28.98%,
advance auto parts,aap,1586,8680000000,usa,146,0.77%,-37.58%,
oci,oci.as,1584,8720000000,netherlands,38,1.60%,40.43%,"chemicals, fertilizercompanies"
yaskawa,6506.t,1585,8690000000,japan,33,-0.22%,-32.05%,electronics
tata power,tatapower.ns,1583,8730000000,india,2,-0.35%,-9.00%,"electricity, utilitycompanies, energy"
qnb finansbank,qnbfb.is,1582,8750000000,turkey,2,-1.62%,-38.00%,banks
japan airlines,9201.t,1580,8770000000,japan,20,0.04%,4.37%,"airlines, travel, transportation"
taiwan mobile,3045.tw,1581,8770000000,taiwan,3,-0.10%,-12.64%,telecommunication
americold,cold,1699,7800000000,usa,28,0.00%,-12.22%,"realestate, investment"
bangkok bank,bbl.bk,1698,7820000000,thailand,4,0.00%,18.16%,"banks, financialservices"
anglogold ashanti,au,1697,7820000000,south africa,18,0.86%,-5.79%,"mining, goldmining"
sinopac financial holdings,2890.tw,1696,7840000000,taiwan,0,0.28%,5.36%,"financialservices, banks"
halozyme therapeutics,halo,1700,7800000000,usa,57,2.41%,78.49%,"pharmaceuticals, biotech"
indutrade,indt.st,1695,7840000000,sweden,20,-0.37%,-27.12%,manufacturing
dino polska,dnp.wa,1694,7850000000,poland,80,1.68%,-3.02%,"retail, supermarketchains"
genting singapore,g13.si,1693,7870000000,singapore,0,-0.56%,14.04%,
avis budget group,car,1692,7870000000,usa,189,-2.13%,-24.88%,carrental
hamamatsu,6965.t,1691,7890000000,japan,51,0.00%,-19.75%,
oge energy,oge,1690,7900000000,usa,39,-1.03%,9.54%,
sabesp,sbs,1688,7910000000,brazil,11,2.04%,62.06%,
us foods,usfd,1686,7920000000,usa,35,-0.82%,3.74%,food
novocure,nvcr,1689,7900000000,jersey,75,2.54%,-16.22%,biotech
floor & decor,fnd,1687,7920000000,usa,74,3.62%,-43.15%,
jd sports fashion,jd.l,1685,7920000000,uk,1,-1.39%,-49.83%,"retail, clothing, sportsgoods"
tokyo gas,9531.t,1683,7930000000,japan,18,0.36%,3.15%,"oilgas, energy"
monotaro,3064.t,1682,7930000000,japan,15,-1.93%,-20.10%,"ecommerce, internet, tech"
pko bank polski,p9o.f,1679,7960000000,poland,6,-0.92%,-42.30%,"banks, financialservices"
regal rexnord,rrx,1680,7950000000,usa,120,0.07%,-26.81%,electronics
sibanye-stillwater,sbsw,1678,7960000000,south africa,10,1.29%,-13.76%,"mining, goldmining"
banque cantonale vaudoise,bcvn.sw,1681,7940000000,switzerland,92,-0.80%,18.22%,"banks, financialservices"
punjab national bank,pnb.ns,1712,7710000000,india,0,4.06%,37.25%,"banks, financialservices"
advanced drainage systems,wms,1776,7350000000,usa,88,-1.45%,-33.78%,
chemed,che,1711,7710000000,usa,518,-0.21%,5.23%,healthcare
singapore exchange,s68.si,1800,7210000000,singapore,6,0.77%,-2.60%,"stockexchanges, financialservices, stockcryptoexchanges"
unimicron,3037.tw,1799,7210000000,taiwan,4,-0.33%,-37.68%,"electronics, tech, techhardware"
s-oil,010950.ks,1796,7220000000,south korea,62,-0.96%,-18.30%,"oilgas, energy"
otp bank,otp.f,1797,7210000000,hungary,25,-1.97%,-52.58%,"banks, financialservices"
aisin seiki,7259.t,1795,7220000000,japan,26,0.69%,-30.40%,automotivesuppliers
nestle malaysia,4707.kl,1798,7210000000,malaysia,30,0.15%,-2.75%,food
