name,market_cap,stock,country,sector,industry,headquarters,founded,employees,ceo
cvs health corporation,135270000000,cvs,united states,healthcare,healthcare plans,"woonsocket,ri,unitedstates", 1963," 216,000",karen sue lynch
conocophillips,136320000000,cop,united states,energy,oil & gas e&p,"houston,tx,unitedstates", 30 august 2002," 9,900",ryan m lance
honeywell international inc,136479999999,hon,united states,industrials,specialty industrial machinery,"charlotte,nc,unitedstates", 1906," 99,000",darius e adamczyk
totalenergies se,137500000000,tte,france,energy,oil & gas integrated,"paris,france", 28 march 1924," 105,476",patrick pouyanna
china mobile ltd,139300000000,0941,hong kong,communication services,telecom services,"hongkong,hongkong",," 449,934",xin dong
hsbc holdings plc,140150000000,hsba,united kingdom,financials,banks,"london,unitedkingdom", first established on 3 march 1865," 219,697",noel paul quinn
bank of china ltd,141220000000,601988,china,financials,banks,"beijing,china",," 309,084",
amgen inc,141720000000,amgn,united states,healthcare,drug manufacturersgeneral,"thousandoaks,ca,unitedstates"," april 8, 1980"," 24,200",robert a bradway
lowe's companies inc,143770000000,low,united states,consumer discretionary,home improvement retail,"mooresville,nc,unitedstates"," march 25, 1921"," 300,000",marvin r ellison
commonwealth bank of australia,144320000000,cba,australia,financials,banks,"sydney,nsw,australia", 22 december 1911," 47,532",matthew comyn
petrochina company limited,144500000000,601857,china,energy,oil & gas integrated,"beijing,china", 5 november 1999," 432,003",
toronto-dominion bank,145410000000,td,canada,financials,banks,"toronto,on,canada", 1 february 1955," 90,000",bharat b masrani
hermes international sca,148980000000,rms,france,consumer discretionary,luxury goods,"paris,france", 1837," 17,595",
american express company,150760000000,axp,united states,financials,credit services,"newyork,ny,unitedstates"," march 18, 1850"," 64,000",stephen joseph squeri
raytheon technologies corporation,150960000000,rtx,united states,industrials,aerospace & defense,"waltham,ma,unitedstates", 2020," 174,000",gregory j hayes
medtronic plc,151060000000,mdt,ireland,healthcare,medical devices,"dublin,ireland", 2001 ," 90,000",geoffrey straub martha
philip morris international inc,154710000000,pm,united states,consumer staples,tobacco,"newyork,ny,unitedstates", 2008," 69,600",jacek olczak
the charles schwab corporation,158060000000,schw,united states,financials,capital markets,"sanfrancisco,ca,unitedstates", 1971," 33,400",walter william bettinger ii
royal bank of canada,159740000000,ry,canada,financials,banks,"toronto,on,canada",," 85,211",david i mckay
netflix inc,163190000000,nflx,united states,communication services,entertainment,"losgatos,ca,unitedstates"," august 29, 1997"," 11,300",wilmot reed hastings jr
morgan stanley,164050000000,ms,united states,financials,capital markets,"newyork,ny,unitedstates", 1935," 75,000",james patrick gorman
t-mobile us inc,164310000000,tmus,united states,communication services,telecom services,"bellevue,wa,unitedstates", 1994," 75,000",g michael sievert
agricultural bank of china ltd,165000000000,601288,china,financials,banks,"beijing,china",," 459,000",
nextera energy inc,165530000000,nee,united states,utilities,utilitiesregulated electric,"junobeach,fl,unitedstates", 1984," 15,000",john w ketchum
linde plc,166070000000,lin,united kingdom,basic materials,specialty chemicals,"guildford,unitedkingdom", 21 june 1879," 72,327",sanjiv lamba
prosus nv,170000000000,prx,netherlands,communication services,internet content & information,"amsterdam,netherlands",," 23,939",bob van dijk
bristol-myers squibb company,170560000000,bmy,united states,healthcare,drug manufacturersgeneral,"newyork,ny,unitedstates", 1887," 32,200",giovanni caforio md
texas instruments incorporated,171280000000,txn,united states,technology,semiconductors,"dallas,tx,unitedstates", 1930," 31,000",richard k templeton
qualcomm incorporated,172250000000,qcom,united states,technology,semiconductors,"sandiego,ca,unitedstates", july 1985," 45,000",cristiano renno amon
at&t inc,175880000000,t,united states,communication services,telecom services,"dallas,tx,unitedstates"," october 5, 1983"," 203,000",john t stankey
union pacific corporation,184190000000,unp,united states,industrials,railroads,"omaha,ne,unitedstates", 1969 ," 29,905",lance m fritz
contemporary amperex technology co ltd,185670000000,300750,china,industrials,electrical equipment & parts,"ningde,china",," 33,078",
china merchants bank co ltd,185980000000,600036,china,financials,banks,"shenzhen,china",," 103,669",huiyu tian mpa
mcdonald's corporation,186570000000,mcd,united states,consumer discretionary,restaurants,"chicago,il,unitedstates"," may 15, 1940"," 100,000",christopher j kempczinski
china construction bank corp,189370000000,601939,china,financials,banks,"beijing,china",," 373,814",
united parcel service inc,190500000000,ups,united states,industrials,integrated freight & logistics,"atlanta,ga,unitedstates"," august 28, 1907"," 267,890",carol b tome
salesforcecom inc,193800000000,crm,united states,technology,softwareapplication,"sanfrancisco,ca,unitedstates"," february 3, 1999"," 73,541",marc r benioff
adobe inc,199570000000,adbe,united states,technology,softwareinfrastructure,"sanjose,ca,unitedstates", december 1982," 25,988",shantanu narayen
wells fargo & company,200010000000,wfc,united states,financials,banks,"sanfrancisco,ca,unitedstates", 1929," 247,848",charles w scharf
intel corporation,201720000000,intc,united states,technology,semiconductors,"santaclara,ca,unitedstates"," july 18, 1968"," 121,100",patrick p gelsinger
astrazeneca plc,201750000000,azn,united kingdom,healthcare,drug manufacturersgeneral,"cambridge,unitedkingdom", 6 april 1999," 83,100",pascal soriot dvm mba
novartis ag,204130000000,novn,switzerland,healthcare,drug manufacturersgeneral,"basel,switzerland", march 1996," 104,323",
shell plc,207680000000,shel,united kingdom,energy,oil & gas integrated,"london,unitedkingdom",," 87,000",ben van beurden
airbus se,97410000000,air,netherlands,industrials,aerospace & defense,"leiden,netherlands",," 121,056",guillaume mjd faury
petroleo brasileiro sa - petrobras,98370000000,pbr,brazil,energy,oil & gas integrated,"riodejaneiro,rj,brazil", 3 october 1953," 46,416",joaquim silva e luna
allianz se,98470000000,alv,germany,financials,insurancediversified,"munich,germany",," 155,411",oliver bate
chubb limited,98570000000,cb,switzerland,financials,insuranceproperty & casualty,"zurich,switzerland"," hamilton, bermuda 1985"," 31,000",evan g greenberg
daimler ag,98790000000,dai,germany,consumer discretionary,auto manufacturers,"stuttgart,germany",," 289,282",ola kallenius
general electric company,99220000000,ge,united states,industrials,specialty industrial machinery,"boston,ma,unitedstates"," april 15, 1892"," 168,000",h lawrence culp jr
the estee lauder companies inc,100160000000,el,united states,consumer staples,household & personal products,"newyork,ny,unitedstates", 1946," 44,640",fabrizio freda
s&p global inc,100840000000,spgi,united states,financials,financial data & stock exchanges,"newyork,ny,unitedstates", 1917," 22,850",douglas l peterson mba
stryker corporation,101410000000,syk,united states,healthcare,medical devices,"kalamazoo,mi,unitedstates", 1941," 46,000",kevin a lobo
british american tobacco plc,101440000000,bats,united kingdom,consumer staples,tobacco,"london,unitedkingdom", 1902," 54,365",jack marie henry david bowles
altria group inc,102980000000,mo,united states,consumer staples,tobacco,"richmond,va,unitedstates", 1985," 6,000",william f gifford jr
nippon telegraph & telephone corp,103750000000,9432,japan,communication services,telecom services,"tokyo,japan",," 324,667",jun sawada
saudi basic industries corp,104000000000,2010,saudi arabia,basic materials,chemicals,"riyadh,saudiarabia",,,yousef bin abdullah al-benyan
byd co ltd,104420000000,002594,china,consumer discretionary,auto manufacturers,"shenzhen,china",," 224,280",chuan-fu wang
charter communications inc,104970000000,chtr,united states,communication services,entertainment,"stamford,ct,unitedstates", 1993," 93,700",thomas m rutledge
airbnb inc,105070000000,abnb,united states,communication services,internet content & information,"sanfrancisco,ca,unitedstates", august 2008," 6,132",brian chesky
al rajhi banking and investment corp,106370000000,1120,saudi arabia,financials,banks,"riyadh,saudiarabia",," 15,078",
infosys limited,106770000000,infy,india,technology,information technology services,"bengaluru,india", 2 july 1981," 292,067",salil satish parekh
target corporation,106890000000,tgt,united states,consumer staples,discount stores,"minneapolis,mn,unitedstates"," june 24, 1902"," 450,000",brian c cornell
servicenow inc,107990000000,now,united states,technology,softwareapplication,"santaclara,ca,unitedstates", 2003," 16,881",william r mcdermott
vale sa,107990000000,vale3,brazil,basic materials,other industrial metals & mining,"riodejaneiro,rj,brazil",,,
starbucks corporation,108190000000,sbux,united states,consumer discretionary,restaurants,"seattle,wa,unitedstates"," march 30, 1971"," 383,000",kevin r johnson
volkswagen ag,108630000000,vow3,germany,consumer discretionary,auto manufacturers,"wolfsburg,germany",," 645,318",herbert diess
citigroup inc,109560000000,c,united states,financials,banks,"newyork,ny,unitedstates"," october 8, 1998"," 220,092",jane nind fraser
glaxosmithkline plc,109980000000,gsk,united kingdom,healthcare,drug manufacturersgeneral,"brentford,unitedkingdom", december 2000," 90,096",emma n walmsley
siemens ag,114660000000,sie,germany,industrials,specialty industrial machinery,"munich,germany",," 303,000",roland busch diplphys
american tower corporation reit,115110000000,amt,united states,real estate,reitspecialty,"boston,ma,unitedstates", 1995," 6,378",thomas a bartlett cpa
diageo plc,115580000000,dge,united kingdom,consumer staples,beverageswineries & distilleries,"london,unitedkingdom",," 27,783",ivan m menezes
hdfc bank limited,115680000000,hdb,india,financials,banks,"mumbai,india",," 134,412",sashidhar jagdishan
blackrock inc,115980000000,blk,united states,financials,asset management,"newyork,ny,unitedstates", 1988," 18,400",laurence douglas fink
unilever plc,117840000000,ulvr,united kingdom,consumer staples,household & personal products,"london,unitedkingdom", 2 september 1929," 148,012",alan w jope
international business machines corporation,119200000000,ibm,united states,technology,information technology services,"armonk,ny,unitedstates"," june 16, 1911"," 282,100",arvind krishna
anthem inc,119800000000,antm,united states,healthcare,healthcare plans,"indianapolis,in,unitedstates", anthem and wellpoint health networks merger in 2004," 98,200",gail koziara boudreaux
applied materials inc,121120000000,amat,united states,technology,semiconductor equipment & materials,"santaclara,ca,unitedstates"," november 10, 1967"," 28,500",gary e dickerson
prologis inc,121200000000,pld,united states,real estate,reitindustrial,"sanfrancisco,ca,unitedstates", 1983," 2,053",hamid r moghadam

