name,rank,marketcap,country,share_price,change1d,change1y,categories
clovis oncology,7083,11770000.0,usa,0.0,0.00%,-97.00%,pharmaceuticals biotech 
hallmark financial services,7079,12620000.0,usa,6.0,1.17%,55.61%,insurance 
aytu bioscience,7081,12510000.0,usa,3.0,0.00%,172.59%,pharmaceuticals biotech 
direct digital holdings,7075,13000000.0,usa,3.0,0.50%,,advertising 
gaming corps,7080,12580000.0,sweden,0.0,0.00%,-26.67%,video-games entertainment 
virtual interactive technologies,7076,12960000.0,,1.0,0.00%,-40.00%,video-games entertainment 
future supply chain solutions,7077,12960000.0,india,0.0,-0.62%,-69.39%,
aethlon medical,7082,12160000.0,usa,0.0,6.08%,-70.55%,medical-devices 
agrify,7071,13410000.0,usa,0.0,1.57%,-92.51%,cannabis 
performance shipping,7073,13250000.0,,3.0,-1.65%,0.46%,transportation oil-gas maritime-transportation 
bioaffinity technologies,7074,13100000.0,usa,1.0,-2.74%,,pharmaceuticals biotech 
diffusion pharmaceuticals,7072,13330000.0,usa,6.0,4.14%,-51.56%,pharmaceuticals 
advanced human imaging,7078,12810000.0,australia,0.0,0.98%,-86.47%,telehealth software tech medical-devices 
gti energy,7068,13630000.0,australia,0.0,8.33%,-50.00%,uranium energy mining 
austin gold,7066,13930000.0,usa,1.0,2.93%,,mining gold-mining 
imte,7069,13570000.0,australia,0.0,4.41%,-90.19%,tech 
titan pharmaceuticals,7070,13440000.0,usa,0.0,1.54%,-9.01%,pharmaceuticals 
celsion corporation,7067,13910000.0,usa,1.0,0.00%,326.09%,pharmaceuticals biotech 
farmmi,7065,13940000.0,china,0.0,2.44%,184.05%,food 
aileron therapeutics,7058,14300000.0,usa,3.0,0.16%,-65.00%,pharmaceuticals biotech 
gigamedia,7057,14470000.0,taiwan,1.0,-2.24%,-39.35%,video-games entertainment 
180 life sciences,7063,13980000.0,usa,3.0,0.59%,-93.22%,pharmaceuticals biotech 
ispecimen,7056,14500000.0,usa,1.0,1.02%,-73.98%,biotech diagnostics 
calyxt,7059,14280000.0,usa,0.0,-17.21%,-86.20%,agriculture food 
inspira technologies,7064,13980000.0,israel,1.0,0.15%,-56.34%,medical-devices 
jaguar health,7062,14040000.0,usa,0.0,0.98%,-90.32%,pharmaceuticals biotech 
expion360,7060,14280000.0,usa,2.0,3.45%,,batteries electricity 
chembio diagnostics,7054,14640000.0,usa,0.0,2.28%,-63.40%,diagnostics biotech 
sobr safe,7061,14270000.0,usa,0.0,-6.67%,-59.17%,
genius group,7053,14660000.0,singapore,0.0,2.61%,,education 
t2 biosystems,7052,14780000.0,usa,2.0,1.00%,380.95%,
organovo,7055,14590000.0,usa,1.0,0.30%,-55.21%,pharmaceuticals 
vyne therapeutics,7040,15670000.0,usa,0.0,1.39%,-60.86%,pharmaceuticals biotech 
forgame,7049,15230000.0,china,0.0,13.70%,-31.25%,video-games entertainment 
trophy games,7045,15490000.0,denmark,0.0,3.56%,-44.44%,video-games entertainment 
yield10 bioscience,7039,15720000.0,usa,3.0,-1.55%,-23.00%,biotech 
drive shack,7046,15480000.0,usa,0.0,0.00%,-88.44%,
pulmatrix,7038,15750000.0,usa,4.0,0.46%,982.50%,pharmaceuticals biotech 
digital ally,7051,15140000.0,usa,0.0,0.25%,-73.74%,security-protection-services 
trevena,7050,15140000.0,usa,2.0,2.35%,263.33%,biotech pharmaceuticals 
preit,7048,15290000.0,usa,2.0,0.00%,125.47%,real-estate investment reit 
can fite biopharma,7044,15490000.0,israel,5.0,1.79%,335.11%,pharmaceuticals biotech 
compleo charging solutions,7041,15630000.0,germany,2.0,-8.29%,-94.70%,ev-charging electricity energy 
voltage,7042,15560000.0,japan,2.0,-0.63%,-17.12%,video-games entertainment 
interserv international,7047,15450000.0,taiwan,0.0,3.36%,-25.00%,video-games entertainment 
games operators,7037,15820000.0,poland,2.0,-1.58%,14.74%,video-games entertainment 
nitro games,7036,16059999.0,finland,1.0,-2.87%,-56.34%,video-games entertainment 
iterum therapeutics,7043,15530000.0,ireland,1.0,0.00%,-77.32%,pharmaceuticals biotech 
reborn coffee,7033,16390000.0,usa,1.0,3.31%,,beverages 
olb group,7035,16170000.0,usa,1.0,2.80%,-40.22%,financial-services internet tech bitcoin 
oragenics,7030,16930000.0,usa,0.0,1.55%,-69.32%,pharmaceuticals 
aurora energy metals,7034,16390000.0,australia,0.0,-2.94%,,uranium energy mining 
digital hollywood interactive,7031,16900000.0,china,0.0,3.12%,0.00%,video-games entertainment 
artifex mundi,7032,16489999.0,poland,1.0,0.33%,-44.40%,video-games entertainment 
socket mobile,7026,17210000.0,usa,2.0,0.83%,-39.09%,electronics tech tech-hardware 
top ships,7029,16970000.0,,1.0,9.95%,81.24%,oil-gas maritime-transportation transportation 
redhill biopharma,7028,17100000.0,israel,0.0,-2.19%,-92.41%,pharmaceuticals 
missfresh,7027,17190000.0,china,2.0,1.81%,-50.25%,e-commerce retail internet tech food 
nanoviricides,7025,17410000.0,usa,1.0,0.67%,-42.75%,pharmaceuticals biotech 
air industries group,7020,17860000.0,usa,5.0,5.16%,525.00%,aerospace 
advfn,7015,18330000.0,united-kingdom,0.0,0.00%,-52.08%,financial-services tech internet 
forza x1,7023,17660000.0,usa,1.0,2.42%,,
cbdmd,7018,18050000.0,usa,0.0,-0.83%,-71.67%,pharmaceuticals 
galmed pharmaceuticals,7012,18560000.0,israel,0.0,-2.76%,-55.07%,pharmaceuticals biotech 
tempest therapeutics,7016,18290000.0,usa,1.0,-3.33%,-51.26%,pharmaceuticals biotech 
aeterna zentaris,7011,18790000.0,usa,3.0,1.87%,961.11%,diagnostics biotech 
precipio,7017,18250000.0,usa,0.0,1.42%,-48.72%,diagnostics biotech 
sg blocks,7014,18420000.0,usa,1.0,0.29%,-19.51%,construction 
corbus pharmaceuticals,7013,18540000.0,usa,0.0,0.68%,-70.40%,pharmaceuticals biotech 
kingstone companies,7010,18910000.0,usa,1.0,1.14%,-67.46%,insurance 
hyrecar,7024,17410000.0,usa,0.0,0.46%,-84.77%,car-rental rental-and-leasing-services 
carlotz,7022,17710000.0,usa,0.0,0.00%,-92.88%,used-car-retailer car-retail 
wheeler real estate investment trust,7019,17870000.0,usa,1.0,-2.41%,6.73%,real-estate investment reit 
trust stamp,7009,18930000.0,usa,0.0,5.79%,-80.98%,software tech 
lipella pharmaceuticals,7021,17800000.0,usa,3.0,-1.27%,,pharmaceuticals biotech 
marpai,7007,18980000.0,usa,0.0,0.00%,-68.73%,software tech healthcare 
netmarble joybomb,7006,19110000.0,taiwan,1.0,-0.31%,-41.04%,video-games entertainment 
marin software,7008,18930000.0,usa,1.0,2.17%,-67.36%,advertising software tech internet 
onconova therapeutics,7005,19170000.0,usa,0.0,1.79%,-58.73%,pharmaceuticals biotech 
severstal,7230,,russia,12.0,-0.66%,-38.80%,
ultimate games,7002,19450000.0,poland,3.0,-1.35%,-37.48%,video-games entertainment 
waitr holdings,7003,19340000.0,usa,0.0,-5.96%,-85.22%,food food-delivery internet tech 
tatneft,7230,,russia,4.0,-0.40%,-25.89%,energy oil-gas 
novatek,7230,,russia,14.0,-0.74%,-32.64%,oil-gas energy 
intensity therapeutics,7230,,usa,,0.00%,,pharmaceuticals biotech 
lukoil,7230,,russia,56.0,-0.71%,-34.01%,oil-gas energy 
nornickel,7230,,russia,211.0,-1.53%,-26.07%,mining 
rosseti,7230,,russia,,0.00%,-100.00%,
polyus,7230,,russia,108.0,-1.76%,-28.31%,
mobile telesystems,7230,,russia,3.0,-0.15%,-11.44%,telecommunication 
cocrystal pharma,7004,19260000.0,usa,2.0,1.97%,-66.01%,pharmaceuticals biotech 
sberbank,7230,,russia,1.0,-0.11%,-42.14%,banks financial-services 
gazprom,7230,,russia,2.0,-0.81%,-48.25%,oil-gas energy 
rosneft,7230,,russia,5.0,0.46%,-34.71%,oil-gas energy 
ozon,7230,,usa,,0.00%,,internet e-commerce tech 
phosagro,7230,,russia,89.0,-0.14%,17.40%,chemicals agriculture 
magnit,7230,,russia,59.0,-1.01%,-12.73%,
novolipetsk steel,7230,,russia,1.0,-0.25%,-44.00%,steel-producers steel-industry 
surgutneftegas,7230,,russia,0.0,-0.32%,-40.00%,oil-gas energy 
newage,7209,40000.0,usa,0.0,0.00%,,
hitachi metals,7213,0.0,japan,16.0,-0.14%,-7.82%,
genocea biosciences,7211,0.0,usa,0.0,-85.71%,-99.99%,pharmaceuticals biotech 
trulite,7208,210000.0,usa,0.0,0.00%,,
pareteum corporation,7210,10000.0,usa,,0.00%,-100.00%,software tech 
srei infrastructure finance,7000,19810000.0,india,0.0,0.00%,-55.56%,financial-services 
youngevity international,7205,1190000.0,usa,0.0,0.00%,-61.00%,consumer-goods 
quanergy systems,7204,1190000.0,usa,0.0,0.00%,-99.26%,lidar tech tech-hardware 
versus systems,7202,1310000.0,canada,0.0,4.89%,-71.00%,video-games tech 
allena pharmaceuticals,7207,980000.0,usa,0.0,-37.69%,-98.12%,pharmaceuticals biotech 
ifresh,7206,1010000.0,usa,0.0,0.00%,-73.75%,retail supermarkets 
mobilicom,7203,1290000.0,australia,1.0,-2.63%,,robotics tech it-security 
carver bancorp,6997,20110000.0,usa,4.0,0.00%,-41.02%,banks financial-services 
fednat holding company,7212,0.0,usa,0.0,0.00%,-99.99%,insurance 
aptorum group,6998,20060000.0,hong-kong,0.0,-3.10%,-57.42%,pharmaceuticals 
astrotech,6999,20040000.0,usa,11.0,0.00%,"1,670.15%",aerospace 
sonim technologies,6987,21280000.0,usa,0.0,-1.25%,-34.04%,telecommunications-equipment 
soligenix,6993,20510000.0,usa,0.0,2.07%,-27.15%,pharmaceuticals biotech 
genetic technologies,6995,20310000.0,australia,1.0,-1.32%,-43.46%,diagnostics biotech 
athersys,6983,22370000.0,usa,1.0,-1.52%,47.73%,biotech pharmaceuticals 
applied dna sciences,6986,21290000.0,usa,1.0,-0.60%,-59.16%,biotech 
acorda therapeutics,6984,22270000.0,usa,0.0,3.17%,-57.63%,pharmaceuticals biotech 
wonderplanet,6988,21130000.0,japan,8.0,4.80%,-24.96%,video-games entertainment tech 
all in games,6990,20790000.0,poland,0.0,0.00%,-65.69%,video-games entertainment 
humanigen,6996,20230000.0,usa,0.0,2.35%,-94.04%,pharmaceuticals biotech 
orosur mining,6994,20410000.0,canada,0.0,0.00%,-31.25%,mining gold-mining 
astro corporation,6991,20690000.0,taiwan,0.0,0.35%,-20.00%,video-games entertainment 
stronghold digital mining,6985,22150000.0,usa,0.0,0.40%,-94.13%,bitcoin tech bitcoin-mining 
spark networks,6992,20690000.0,germany,0.0,5.41%,-76.11%,tech internet online-dating 
sidus space,6989,20800000.0,usa,1.0,0.87%,-89.38%,aerospace 
fgi industries,6981,22420000.0,usa,2.0,0.00%,-39.49%,furniture 
acelrx pharmaceuticals,6982,22380000.0,usa,2.0,5.81%,425.00%,pharmaceuticals 
sientra,6973,23160000.0,usa,0.0,-6.67%,-92.43%,medical-devices 
silicon studio,6975,22920000.0,japan,8.0,3.08%,13.12%,video-games entertainment tech 
mobile global esports mogo,6976,22870000.0,usa,1.0,0.90%,,esports entertainment 
edia,6974,23050000.0,japan,3.0,2.97%,9.94%,video-games entertainment 
ekso bionics,6977,22850000.0,usa,1.0,-0.65%,-31.28%,tech 
vincerx pharma,6980,22520000.0,usa,1.0,-0.67%,-86.03%,pharmaceuticals biotech 
india globalization capital,6978,22770000.0,usa,0.0,5.17%,-57.09%,
verb technology,6968,23810000.0,usa,0.0,6.22%,-85.04%,software internet tech 
american virtual cloud,6979,22680000.0,usa,0.0,1.23%,-60.31%,tech internet 
rubius therapeutics,6967,23900000.0,usa,0.0,5.72%,-96.73%,pharmaceuticals biotech biotech 
rockwell medical,6972,23380000.0,usa,2.0,3.08%,327.66%,pharmaceuticals biotech 
conformis,6969,23670000.0,usa,3.0,3.28%,370.15%,medical-devices 
stealth biotherapeutics,6970,23530000.0,,0.0,0.00%,-62.35%,pharmaceuticals biotech 
polar power,6971,23500000.0,usa,1.0,0.83%,-45.50%,electricity energy 
mynet,6966,24050000.0,japan,2.0,0.82%,-35.16%,video-games entertainment 
phoenix motor,6965,24370000.0,usa,1.0,-1.65%,,automakers electric-vehicles specialty-vehicles 
mobcast,6964,24370000.0,japan,0.0,-3.37%,13.56%,video-games entertainment 
nj holdings,6963,24540000.0,japan,4.0,-0.83%,-23.81%,video-games tech 
fc porto,6962,24670000.0,,1.0,0.00%,-0.90%,football 
eterna therapeutics,6952,26250000.0,usa,5.0,1.29%,-91.69%,pharmaceuticals biotech 
hempacco,6955,25940000.0,usa,1.0,-5.93%,,tobacco 
axel mark,6958,25550000.0,japan,2.0,0.98%,-31.03%,video-games entertainment advertising 
bellerophon therapeutics,6961,24720000.0,usa,2.0,0.39%,-7.17%,pharmaceuticals 
biofrontera,6950,26420000.0,usa,0.0,-0.05%,-80.00%,pharmaceuticals biotech 
onion global,6960,25010000.0,china,0.0,0.00%,-89.56%,e-commerce tech 
sigmatron international,6956,25680000.0,usa,4.0,0.24%,-51.04%,electronics manufacturing 
future retail,6953,26020000.0,india,0.0,0.00%,-92.75%,retail 
avaya holdings,6954,25960000.0,usa,0.0,-6.15%,-98.52%,software tech 
fingertango,6949,26460000.0,china,0.0,-0.93%,-83.33%,video-games entertainment 
davidstea,6959,25240000.0,canada,0.0,0.00%,-72.93%,beverages retail 
seachange,6957,25590000.0,usa,0.0,-3.21%,-66.23%,software tech 
regulus therapeutics,6951,26270000.0,usa,1.0,4.00%,-40.00%,pharmaceuticals biotech 
nanthealth,6947,26650000.0,usa,3.0,-1.14%,260.42%,healthcare 
core scientific,6948,26530000.0,usa,0.0,0.00%,-99.23%,bitcoin tech bitcoin-mining 
rail vision,6944,26860000.0,israel,1.0,1.81%,,tech 
microbot medical,6932,28560000.0,usa,3.0,3.72%,-40.85%,medical-instruments-and-supplies 
endo international,6935,27940000.0,ireland,0.0,0.93%,,pharmaceuticals biotech 
vislink technologies,6939,27490000.0,usa,0.0,2.08%,-44.24%,telecommunication telecommunications-equipment 
fun yours technology,6934,28030000.0,taiwan,1.0,5.88%,-3.87%,video-games entertainment 
zee learn,6942,27090000.0,india,0.0,2.27%,-65.22%,education 
swvl holdings,6936,27830000.0,united-arab-emirates,0.0,-8.44%,-97.92%,tech ridesharing transportation 
lannett company,6945,26800000.0,usa,0.0,1.43%,-60.07%,pharmaceuticals 
triterras,6946,26780000.0,singapore,0.0,0.00%,-82.59%,financial-services tech 
agex therapeutics,6943,26970000.0,usa,0.0,0.61%,-13.30%,pharmaceuticals biotech 
dolphin entertainment,6938,27780000.0,usa,2.0,2.64%,-58.73%,entertainment 
trinity place holdings,6937,27800000.0,usa,0.0,-5.82%,-58.84%,real-estate investment 
boxlight,6931,28680000.0,usa,0.0,1.10%,-65.14%,education 
altplus,6940,27480000.0,japan,1.0,2.00%,-40.82%,video-games entertainment 
society pass,6933,28260000.0,singapore,1.0,0.00%,-83.17%,financial-services 
cyngn,6941,27370000.0,usa,0.0,6.95%,-76.78%,software tech 
sphere 3d,6928,28910000.0,canada,0.0,-7.93%,-84.15%,software tech 
tenda,6929,28850000.0,japan,13.0,-2.28%,-5.20%,it-services video-games 
erayak power solution,6923,29280000.0,china,2.0,2.09%,,electricity manufacturing 
rockley photonics,6927,28950000.0,united-kingdom,0.0,-4.47%,-93.86%,semiconductors tech tech-hardware 
shapeways,6926,29080000.0,usa,0.0,-3.12%,-76.68%,3d-printing tech 
electrocore,6930,28820000.0,usa,0.0,6.13%,-46.71%,pharmaceuticals 
sporting clube de braga,6924,29190000.0,,24.0,-6.67%,97.48%,football 
quince therapeutics,6925,29120000.0,usa,0.0,0.40%,-91.93%,pharmaceuticals biotech 
harpoon therapeutics,6911,31730000.0,usa,0.0,-1.54%,-83.68%,biotech pharmaceuticals 
zynerba pharmaceuticals,6920,29640000.0,usa,0.0,6.74%,-74.29%,pharmaceuticals 
vaccinex,6907,32040000.0,usa,0.0,4.13%,-42.64%,pharmaceuticals biotech 
toughbuilt industries,6918,29670000.0,usa,2.0,3.72%,596.88%,
psychemedics,6913,30760000.0,usa,5.0,0.00%,-23.99%,diagnostics biotech 
aprea therapeutics,6914,30730000.0,usa,0.0,4.05%,-76.80%,pharmaceuticals biotech 
avalon globocare,6908,31990000.0,usa,3.0,5.61%,,pharmaceuticals biotech 
bionomics,6912,31050000.0,australia,4.0,-5.06%,-66.75%,pharmaceuticals biotech 
aptinyx,6909,31790000.0,usa,0.0,-5.63%,-83.29%,pharmaceuticals biotech 
cyclerion therapeutics,6916,30010000.0,usa,0.0,-1.43%,-50.36%,pharmaceuticals biotech 
athenex,6919,29670000.0,usa,0.0,-1.15%,-83.32%,pharmaceuticals biotech 
pioneer power solutions,6921,29610000.0,usa,3.0,1.69%,-62.04%,electricity manufacturing 
laser photonics,6922,29350000.0,usa,3.0,2.36%,,machinery-manufacturing manufacturing 
beasley broadcast group,6910,31760000.0,usa,1.0,-0.46%,-46.78%,media-press 
kala pharmaceuticals,6915,30680000.0,usa,19.0,-2.72%,"1,749.34%",pharmaceuticals biotech 
nexstim,6917,29680000.0,finland,4.0,0.74%,-13.33%,medical-devices 
lumos pharma,6906,32560000.0,usa,3.0,-4.76%,-47.08%,pharmaceuticals biotech 
sierra metals,6905,32700000.0,canada,0.0,0.00%,-84.41%,mining 
forever entertainment,6904,32880000.0,poland,1.0,-1.00%,-25.00%,video-games entertainment 
sio gene therapies,6903,33030000.0,usa,0.0,-0.58%,-61.83%,biotech pharmaceuticals gene-therapy genomics 
document security systems,6902,33049999.0,usa,0.0,1.15%,-64.51%,
quotient,7201,1340000.0,switzerland,0.0,0.00%,-81.90%,biotech diagnostics 
zk international group,6901,33119999.0,china,1.0,3.81%,-28.76%,steel-industry 
vip gloves,7195,2190000.0,malaysia,,0.00%,-100.00%,glove-ppe 
freeze tag,7200,1650000.0,usa,0.0,0.00%,10.00%,video-games entertainment 
baudax bio,7196,1960000.0,usa,3.0,1.72%,"1,675.00%",pharmaceuticals 
ientertainment network,7189,2830000.0,usa,0.0,0.00%,-10.00%,video-games entertainment 
kuuhubb,7199,1680000.0,canada,0.0,0.00%,50.00%,video-games entertainment 
playground ventures,7197,1870000.0,canada,0.0,0.00%,-66.67%,video-games entertainment 
punkpirates,7188,3030000.0,poland,0.0,59.50%,-23.08%,video-games entertainment 
calithera biosciences,7192,2350000.0,usa,0.0,-5.12%,-95.20%,pharmaceuticals biotech 
super league gaming,7001,19790000.0,usa,0.0,-0.96%,-76.58%,esports video-games tech 
tapinator,7194,2230000.0,usa,0.0,0.00%,-95.50%,video-games entertainment 
t-bull,7193,2330000.0,poland,1.0,-0.23%,-53.65%,video-games entertainment 
winc,7198,1860000.0,usa,0.0,0.00%,-98.06%,beverages alcoholic-beverages retail e-commerce tech internet 
edible garden,7190,2760000.0,usa,0.0,6.13%,,food 
viveve medical,7191,2570000.0,usa,0.0,-7.69%,-78.76%,healthcare 
nuwellis,7179,4080000.0,usa,7.0,4.24%,-93.14%,biotech 
connexa sports technologies,7185,3290000.0,usa,0.0,2.30%,-85.83%,sports 
afristrat investment,7182,3520000.0,south-africa,0.0,0.00%,-85.71%,investment financial-services 
biolase,7181,4000000.0,usa,0.0,9.80%,40.00%,medical-devices 
grom social enterprises,7186,3240000.0,usa,1.0,-2.61%,-20.74%,entertainment media-press tech internet 
blue hat,7173,4360000.0,china,0.0,-2.60%,12.22%,video-games toys 
zovio,7187,3170000.0,usa,0.0,0.00%,-93.23%,education 
kaspien,7178,4090000.0,usa,0.0,1.85%,-90.36%,e-commerce professional-services 
sonoma pharmaceuticals,7176,4150000.0,usa,1.0,-0.98%,-70.94%,pharmaceuticals biotech 
greene concepts,7184,3400000.0,usa,0.0,1.16%,-56.50%,beverages 
allied healthcare products,7174,4330000.0,usa,1.0,-0.92%,-76.32%,medical-equipment 
pintec technology,7177,4120000.0,china,0.0,-4.96%,-31.13%,financial-services tech 
htg molecular diagnostics,7172,4390000.0,usa,4.0,1.18%,6.44%,diagnostics biotech 
contrafect,7180,4070000.0,usa,0.0,-2.10%,-96.06%,pharmaceuticals biotech 
phasebio pharmaceuticals,7183,3490000.0,usa,0.0,0.00%,-96.87%,pharmaceuticals 
eastside distilling,7175,4320000.0,usa,0.0,0.04%,-82.81%,beverages alcoholic-beverages 
sintx technologies,7169,4540000.0,usa,8.0,0.00%,"1,384.76%",medical-devices 
ampio pharmaceuticals,7170,4520000.0,usa,0.0,-1.45%,-96.00%,pharmaceuticals 
manydev studio,7168,4600000.0,poland,0.0,-2.00%,-60.00%,video-games entertainment 
ensysce biosciences,7171,4500000.0,usa,0.0,-2.40%,-98.98%,biotech pharmaceuticals 
bruush oral care bruush,7167,4620000.0,canada,0.0,-4.19%,,consumer-goods electronics 
cemtrex,7154,5760000.0,usa,0.0,6.57%,-75.59%,software tech 
motorsport gaming,7165,4640000.0,usa,3.0,2.58%,-0.50%,video-games entertainment 
inpixon,7158,5440000.0,usa,1.0,0.60%,229.41%,software tech 
petros pharmaceuticals,7151,6070000.0,usa,2.0,0.48%,11.99%,pharmaceuticals biotech 
hillstream biopharma,7164,4820000.0,usa,0.0,-3.70%,-84.94%,biotech pharmaceuticals 
nabriva therapeutics,7162,4860000.0,ireland,1.0,-0.09%,194.19%,pharmaceuticals biotech 
advaxis,7157,5440000.0,usa,3.0,35.44%,"1,775.00%",pharmaceuticals biotech 
wolverine energy and infrastructure,7161,4940000.0,canada,0.0,0.00%,-78.95%,energy oil-gas oil-gas-equipment-services 
oblong,7159,5400000.0,usa,2.0,4.37%,-77.52%,software tech 
esports entertainment,7153,5770000.0,,0.0,4.23%,-97.72%,gambling entertainment esports 
liquid media group,7160,5270000.0,canada,0.0,-2.39%,-71.53%,media-press 
biondvax,7155,5750000.0,israel,3.0,-0.33%,-80.57%,
g medical innovations,7166,4640000.0,israel,4.0,34.03%,10.15%,software tech healthcare 
mighty kingdom,7152,5990000.0,australia,0.0,32.26%,-75.00%,video-games entertainment 
ja,7163,4830000.0,usa,1.0,-1.60%,-57.00%,pharmaceuticals biotech 
polarityte,7156,5660000.0,usa,0.0,-1.91%,8.33%,biotech 
painreform,7149,6160000.0,israel,0.0,1.75%,-57.04%,pharmaceuticals biotech 
akanda,7144,6470000.0,united-kingdom,0.0,-3.01%,,cannabis 
blackboxstocks,7150,6130000.0,usa,0.0,-1.52%,-81.98%,financial-services software tech 
gameone,7146,6420000.0,hong-kong,0.0,10.00%,-62.50%,video-games entertainment 
tivic health systems,7140,6770000.0,usa,0.0,4.34%,-76.43%,medical-devices 
ll lucky games,7147,6280000.0,sweden,0.0,-5.49%,-73.33%,video-games entertainment 
bio-key international,7136,7020000.0,usa,0.0,-0.49%,-65.01%,software tech 
arcimoto,7145,6450000.0,usa,2.0,-58.82%,-65.48%,automakers electric-vehicles 
field trip health,7141,6710000.0,canada,0.0,0.00%,,medical-care-facilities healthcare 
benitec biopharma,7142,6580000.0,usa,0.0,5.47%,-90.81%,
altamira therapeutics,7148,6270000.0,,5.0,3.67%,-82.68%,biotech pharmaceuticals 
starry group,7139,6850000.0,usa,0.0,5.13%,-99.59%,telecommunication 
heart test laboratories,7137,6990000.0,usa,0.0,-2.60%,,diagnostics 
minerva surgical,7143,6560000.0,usa,0.0,-2.83%,-96.17%,medical-devices 
nuzee,7135,7030000.0,usa,10.0,3.38%,242.43%,beverages 
opgen,7138,6960000.0,usa,2.0,-4.76%,144.90%,diagnostics biotech 
sozap,7127,7740000.0,sweden,0.0,5.70%,-53.81%,video-games entertainment 
kidpik,7132,7300000.0,usa,0.0,-4.03%,-84.32%,e-commerce internet tech clothing 
energy focus,7134,7180000.0,usa,0.0,6.82%,-65.28%,led-lighting 
akerna,7129,7600000.0,usa,1.0,0.97%,5.96%,cannabis 
evofem biosciences,7122,8119999.0,usa,0.0,2.76%,-83.66%,pharmaceuticals biotech 
ibio,7124,8060000.0,usa,0.0,4.72%,47.21%,pharmaceuticals biotech 
vivopower,7121,8160000.0,united-kingdom,0.0,-7.13%,-86.83%,renewable-energy electricity energy 
greenlane,7131,7300000.0,usa,0.0,-1.62%,-50.28%,cannabis 
netcapital,7128,7620000.0,usa,1.0,1.56%,-85.14%,financial-services tech 
vivid games,7133,7180000.0,poland,0.0,-3.40%,-29.03%,video-games entertainment 
neptune wellness solutions,7126,7800000.0,canada,0.0,-0.19%,54.86%,cannabis 
quoin pharmaceuticals,7120,8289999.0,usa,1.0,0.06%,-91.06%,pharmaceuticals biotech 
linekong interactive,7123,8100000.0,china,0.0,6.83%,-50.00%,video-games entertainment 
gaming technologies gametech,7119,8369999.0,usa,0.0,0.00%,-91.94%,video-games entertainment 
gaming factory,7125,7880000.0,poland,1.0,5.21%,-37.78%,video-games entertainment 
phio pharmaceuticals,7130,7540000.0,usa,0.0,1.28%,-37.27%,pharmaceuticals biotech 
ra medical systems,7118,8450000.0,usa,3.0,6.93%,183.59%,medical-devices 
skylight health group,7117,8470000.0,canada,0.0,-3.39%,,medical-care-facilities 
qiiwi games,7116,8700000.0,sweden,0.0,4.71%,-53.69%,video-games entertainment 
great panther mining,7115,8800000.0,canada,0.0,0.00%,-17.39%,mining gold-mining silver-mining 
saverone 2014,7114,8810000.0,israel,1.0,-4.98%,,tech 
hoth therapeutics,7112,8980000.0,usa,6.0,1.79%,-65.62%,pharmaceuticals biotech 
staffing 360 solutions,7113,8960000.0,usa,3.0,-1.39%,297.75%,staffing-employment professional-services 
arcadia biosciences,7107,9350000.0,usa,0.0,5.50%,-63.13%,biotech 
tricida,7106,9580000.0,usa,0.0,24.60%,-98.12%,pharmaceuticals tech 
sabre resources,7108,9340000.0,australia,0.0,-4.17%,0.00%,uranium energy mining 
cryptyde,7109,9200000.0,usa,0.0,-3.13%,,bitcoin tech 
avinger,7105,9660000.0,usa,1.0,3.17%,319.35%,medical-devices 
rave restaurant group,6894,33930000.0,usa,1.0,-1.62%,78.43%,restaurant-chains food pizza 
guardforce ai,7102,9930000.0,singapore,0.0,-3.88%,-84.26%,robotics tech 
almaden minerals,6895,33670000.0,canada,0.0,0.00%,-12.36%,mining gold-mining silver-mining 
salem media group,6896,33610000.0,usa,1.0,2.07%,-62.80%,media-press 
biocept,7103,9810000.0,usa,0.0,-0.79%,-82.56%,diagnostics biotech 
wearable health solutions,7110,9180000.0,usa,0.0,0.00%,-40.00%,medical-devices 
adial pharmaceuticals,7111,9020000.0,usa,0.0,5.00%,-86.51%,pharmaceuticals 
fragbite group,6893,34060000.0,sweden,0.0,0.68%,-60.67%,video-games entertainment esports 
virax biolabs,7104,9740000.0,united-kingdom,0.0,-2.56%,,biotech 
corenergy infrastructure trust,6892,34250000.0,usa,2.0,-0.47%,-49.77%,real-estate investment reit energy 
solar integrated roofing,6891,34370000.0,usa,0.0,2.29%,-87.15%,energy electricity renewable-energy 
corphousing group,6890,34480000.0,usa,1.0,0.00%,,rental-and-leasing-services real-estate 
ontrak,6889,34600000.0,usa,1.0,122.61%,-69.67%,healthcare 
satsuma pharmaceuticals,6885,35110000.0,usa,1.0,4.95%,-76.86%,pharmaceuticals biotech 
acasti pharma,6886,35020000.0,canada,0.0,4.67%,-41.85%,pharmaceuticals biotech 
realnetworks,6888,34820000.0,usa,0.0,0.00%,-17.98%,telecommunication software tech video-games entertainment 
houston american energy,6876,37520000.0,usa,3.0,2.16%,145.45%,oil-gas energy 
zordix,6875,38020000.0,sweden,0.0,-1.70%,-68.88%,video-games entertainment 
heartbeam,6881,36680000.0,usa,4.0,1.16%,50.75%,medical-devices 
paxmedica,6887,34900000.0,usa,2.0,-1.02%,,pharmaceuticals biotech 
treasure global,6883,35610000.0,malaysia,2.0,0.49%,,e-commerce tech software financial-services 
silver one resources,6877,37390000.0,canada,0.0,-2.13%,-45.16%,mining silver-mining 
